id,idHabitacion,Habitacion,timestamp,status
1,12,Estación de revisión 1,5/31/2021 7:19:33 AM,Sala no disponible.
2,12,Estación de revisión 1,5/31/2021 7:20:00 AM,Inicia limpieza.
3,12,Estación de revisión 1,5/31/2021 7:20:35 AM,Sala disponible.
4,12,Estación de revisión 1,5/31/2021 7:29:15 AM,Sala no disponible.
5,12,Estación de revisión 1,5/31/2021 7:29:42 AM,Inicia limpieza.
6,12,Estación de revisión 1,5/31/2021 7:30:31 AM,Sala disponible.
7,13,Estación de revisión 2,5/31/2021 7:36:38 AM,Sala no disponible.
8,13,Estación de revisión 2,5/31/2021 7:37:05 AM,Inicia limpieza.
9,13,Estación de revisión 2,5/31/2021 7:38:53 AM,Sala disponible.
10,1,Sala de examenes 1,5/31/2021 7:42:34 AM,Sala no disponible.
11,1,Sala de examenes 1,5/31/2021 7:43:14 AM,Inicia limpieza.
12,1,Sala de examenes 1,5/31/2021 7:46:07 AM,Sala disponible.
13,2,Sala de examenes 2,5/31/2021 7:54:19 AM,Sala no disponible.
14,2,Sala de examenes 2,5/31/2021 7:54:53 AM,Inicia limpieza.
15,12,Estación de revisión 1,5/31/2021 7:55:43 AM,Sala no disponible.
16,12,Estación de revisión 1,5/31/2021 7:56:09 AM,Inicia limpieza.
17,12,Estación de revisión 1,5/31/2021 7:56:56 AM,Sala disponible.
18,2,Sala de examenes 2,5/31/2021 7:57:19 AM,Sala disponible.
19,6,Sala de procedimientos 1,5/31/2021 7:59:14 AM,Sala no disponible.
20,6,Sala de procedimientos 1,5/31/2021 7:59:51 AM,Inicia limpieza.
21,13,Estación de revisión 2,5/31/2021 8:00:18 AM,Sala no disponible.
22,13,Estación de revisión 2,5/31/2021 8:00:45 AM,Inicia limpieza.
23,13,Estación de revisión 2,5/31/2021 8:01:38 AM,Sala disponible.
24,12,Estación de revisión 1,5/31/2021 8:05:09 AM,Sala no disponible.
25,6,Sala de procedimientos 1,5/31/2021 8:05:10 AM,Sala disponible.
26,12,Estación de revisión 1,5/31/2021 8:05:36 AM,Inicia limpieza.
27,12,Estación de revisión 1,5/31/2021 8:06:21 AM,Sala disponible.
28,13,Estación de revisión 2,5/31/2021 8:06:57 AM,Sala no disponible.
29,13,Estación de revisión 2,5/31/2021 8:07:23 AM,Inicia limpieza.
30,13,Estación de revisión 2,5/31/2021 8:08:15 AM,Sala disponible.
31,12,Estación de revisión 1,5/31/2021 8:10:42 AM,Sala no disponible.
32,13,Estación de revisión 2,5/31/2021 8:11:17 AM,Sala no disponible.
33,13,Estación de revisión 2,5/31/2021 8:11:43 AM,Inicia limpieza.
34,13,Estación de revisión 2,5/31/2021 8:12:23 AM,Sala disponible.
35,1,Sala de examenes 1,5/31/2021 8:16:18 AM,Sala no disponible.
36,1,Sala de examenes 1,5/31/2021 8:16:57 AM,Inicia limpieza.
37,13,Estación de revisión 2,5/31/2021 8:17:32 AM,Sala no disponible.
38,13,Estación de revisión 2,5/31/2021 8:17:58 AM,Inicia limpieza.
39,13,Estación de revisión 2,5/31/2021 8:18:28 AM,Sala disponible.
40,1,Sala de examenes 1,5/31/2021 8:19:42 AM,Sala disponible.
41,5,Sala de imagenes 1,5/31/2021 8:20:19 AM,Sala no disponible.
42,5,Sala de imagenes 1,5/31/2021 8:21:27 AM,Inicia limpieza.
43,5,Sala de imagenes 1,5/31/2021 8:22:44 AM,Sala disponible.
44,12,Estación de revisión 1,5/31/2021 8:23:36 AM,Inicia limpieza.
45,12,Estación de revisión 1,5/31/2021 8:24:07 AM,Sala disponible.
46,2,Sala de examenes 2,5/31/2021 8:26:28 AM,Sala no disponible.
47,2,Sala de examenes 2,5/31/2021 8:27:01 AM,Inicia limpieza.
48,3,Sala de examenes 3,5/31/2021 8:27:46 AM,Sala no disponible.
49,3,Sala de examenes 3,5/31/2021 8:28:05 AM,Inicia limpieza.
50,3,Sala de examenes 3,5/31/2021 8:29:48 AM,Sala disponible.
51,2,Sala de examenes 2,5/31/2021 8:29:49 AM,Sala disponible.
52,4,Sala de examenes 4,5/31/2021 8:32:12 AM,Sala no disponible.
53,4,Sala de examenes 4,5/31/2021 8:32:46 AM,Inicia limpieza.
54,4,Sala de examenes 4,5/31/2021 8:34:41 AM,Sala disponible.
55,12,Estación de revisión 1,5/31/2021 8:35:30 AM,Sala no disponible.
56,5,Sala de imagenes 1,5/31/2021 8:39:15 AM,Sala no disponible.
57,5,Sala de imagenes 1,5/31/2021 8:40:23 AM,Inicia limpieza.
58,5,Sala de imagenes 1,5/31/2021 8:41:43 AM,Sala disponible.
59,6,Sala de procedimientos 1,5/31/2021 8:42:05 AM,Sala no disponible.
60,12,Estación de revisión 1,5/31/2021 8:42:35 AM,Inicia limpieza.
61,6,Sala de procedimientos 1,5/31/2021 8:42:42 AM,Inicia limpieza.
62,12,Estación de revisión 1,5/31/2021 8:43:05 AM,Sala disponible.
63,6,Sala de procedimientos 1,5/31/2021 8:45:12 AM,Sala disponible.
64,5,Sala de imagenes 1,5/31/2021 8:55:19 AM,Sala no disponible.
65,5,Sala de imagenes 1,5/31/2021 8:56:26 AM,Inicia limpieza.
66,5,Sala de imagenes 1,5/31/2021 8:58:14 AM,Sala disponible.
67,7,Sala de procedimientos 2,5/31/2021 8:59:53 AM,Sala no disponible.
68,7,Sala de procedimientos 2,5/31/2021 9:00:54 AM,Inicia limpieza.
69,1,Sala de examenes 1,5/31/2021 9:01:19 AM,Sala no disponible.
70,1,Sala de examenes 1,5/31/2021 9:01:59 AM,Inicia limpieza.
71,1,Sala de examenes 1,5/31/2021 9:03:27 AM,Sala disponible.
72,7,Sala de procedimientos 2,5/31/2021 9:03:45 AM,Sala disponible.
73,12,Estación de revisión 1,5/31/2021 9:13:34 AM,Sala no disponible.
74,12,Estación de revisión 1,5/31/2021 9:14:00 AM,Inicia limpieza.
75,12,Estación de revisión 1,5/31/2021 9:14:40 AM,Sala disponible.
76,2,Sala de examenes 2,5/31/2021 9:17:44 AM,Sala no disponible.
77,2,Sala de examenes 2,5/31/2021 9:18:17 AM,Inicia limpieza.
78,12,Estación de revisión 1,5/31/2021 9:20:23 AM,Sala no disponible.
79,12,Estación de revisión 1,5/31/2021 9:20:50 AM,Inicia limpieza.
80,2,Sala de examenes 2,5/31/2021 9:21:11 AM,Sala disponible.
81,12,Estación de revisión 1,5/31/2021 9:21:25 AM,Sala disponible.
82,13,Estación de revisión 2,5/31/2021 9:24:09 AM,Sala no disponible.
83,13,Estación de revisión 2,5/31/2021 9:24:36 AM,Inicia limpieza.
84,13,Estación de revisión 2,5/31/2021 9:25:33 AM,Sala disponible.
85,3,Sala de examenes 3,5/31/2021 9:28:08 AM,Sala no disponible.
86,3,Sala de examenes 3,5/31/2021 9:28:27 AM,Inicia limpieza.
87,1,Sala de examenes 1,5/31/2021 9:28:35 AM,Sala no disponible.
88,12,Estación de revisión 1,5/31/2021 9:29:21 AM,Sala no disponible.
89,3,Sala de examenes 3,5/31/2021 9:29:58 AM,Sala disponible.
90,1,Sala de examenes 1,5/31/2021 9:30:18 AM,Inicia limpieza.
91,1,Sala de examenes 1,5/31/2021 9:32:40 AM,Sala disponible.
92,12,Estación de revisión 1,5/31/2021 9:32:55 AM,Inicia limpieza.
93,12,Estación de revisión 1,5/31/2021 9:33:29 AM,Sala disponible.
94,5,Sala de imagenes 1,5/31/2021 9:37:35 AM,Sala no disponible.
95,5,Sala de imagenes 1,5/31/2021 9:38:43 AM,Inicia limpieza.
96,5,Sala de imagenes 1,5/31/2021 9:40:17 AM,Sala disponible.
97,6,Sala de procedimientos 1,5/31/2021 9:43:42 AM,Sala no disponible.
98,6,Sala de procedimientos 1,5/31/2021 9:44:20 AM,Inicia limpieza.
99,6,Sala de procedimientos 1,5/31/2021 9:47:15 AM,Sala disponible.
100,2,Sala de examenes 2,5/31/2021 9:47:28 AM,Sala no disponible.
101,2,Sala de examenes 2,5/31/2021 9:48:02 AM,Inicia limpieza.
102,2,Sala de examenes 2,5/31/2021 9:50:37 AM,Sala disponible.
103,12,Estación de revisión 1,5/31/2021 9:50:48 AM,Sala no disponible.
104,12,Estación de revisión 1,5/31/2021 9:51:14 AM,Inicia limpieza.
105,12,Estación de revisión 1,5/31/2021 9:51:59 AM,Sala disponible.
106,8,Sala de procedimientos 3,5/31/2021 9:52:48 AM,Sala no disponible.
107,8,Sala de procedimientos 3,5/31/2021 9:53:33 AM,Inicia limpieza.
108,8,Sala de procedimientos 3,5/31/2021 9:56:23 AM,Sala disponible.
109,3,Sala de examenes 3,5/31/2021 9:59:07 AM,Sala no disponible.
110,3,Sala de examenes 3,5/31/2021 9:59:27 AM,Inicia limpieza.
111,3,Sala de examenes 3,5/31/2021 10:00:52 AM,Sala disponible.
112,1,Sala de examenes 1,5/31/2021 10:10:41 AM,Sala no disponible.
113,2,Sala de examenes 2,5/31/2021 10:10:52 AM,Sala no disponible.
114,1,Sala de examenes 1,5/31/2021 10:11:20 AM,Inicia limpieza.
115,2,Sala de examenes 2,5/31/2021 10:11:26 AM,Inicia limpieza.
116,2,Sala de examenes 2,5/31/2021 10:13:53 AM,Sala disponible.
117,1,Sala de examenes 1,5/31/2021 10:14:02 AM,Sala disponible.
118,3,Sala de examenes 3,5/31/2021 10:16:07 AM,Sala no disponible.
119,3,Sala de examenes 3,5/31/2021 10:16:26 AM,Inicia limpieza.
120,3,Sala de examenes 3,5/31/2021 10:17:57 AM,Sala disponible.
121,12,Estación de revisión 1,5/31/2021 10:20:25 AM,Sala no disponible.
122,12,Estación de revisión 1,5/31/2021 10:20:51 AM,Inicia limpieza.
123,12,Estación de revisión 1,5/31/2021 10:21:26 AM,Sala disponible.
124,5,Sala de imagenes 1,5/31/2021 10:26:35 AM,Sala no disponible.
125,4,Sala de examenes 4,5/31/2021 10:27:02 AM,Sala no disponible.
126,4,Sala de examenes 4,5/31/2021 10:27:37 AM,Inicia limpieza.
127,5,Sala de imagenes 1,5/31/2021 10:27:43 AM,Inicia limpieza.
128,5,Sala de imagenes 1,5/31/2021 10:29:01 AM,Sala disponible.
129,4,Sala de examenes 4,5/31/2021 10:29:39 AM,Sala disponible.
130,12,Estación de revisión 1,5/31/2021 10:30:21 AM,Sala no disponible.
131,12,Estación de revisión 1,5/31/2021 10:30:48 AM,Inicia limpieza.
132,12,Estación de revisión 1,5/31/2021 10:31:34 AM,Sala disponible.
133,5,Sala de imagenes 1,5/31/2021 10:41:51 AM,Sala no disponible.
134,1,Sala de examenes 1,5/31/2021 10:42:16 AM,Sala no disponible.
135,1,Sala de examenes 1,5/31/2021 10:42:55 AM,Inicia limpieza.
136,5,Sala de imagenes 1,5/31/2021 10:42:58 AM,Inicia limpieza.
137,7,Sala de procedimientos 2,5/31/2021 10:44:09 AM,Sala no disponible.
138,5,Sala de imagenes 1,5/31/2021 10:44:29 AM,Sala disponible.
139,1,Sala de examenes 1,5/31/2021 10:44:31 AM,Sala disponible.
140,7,Sala de procedimientos 2,5/31/2021 10:45:20 AM,Inicia limpieza.
141,7,Sala de procedimientos 2,5/31/2021 10:47:39 AM,Sala disponible.
142,6,Sala de procedimientos 1,5/31/2021 10:54:18 AM,Sala no disponible.
143,6,Sala de procedimientos 1,5/31/2021 10:54:55 AM,Inicia limpieza.
144,6,Sala de procedimientos 1,5/31/2021 10:59:45 AM,Sala disponible.
145,8,Sala de procedimientos 3,5/31/2021 11:07:40 AM,Sala no disponible.
146,1,Sala de examenes 1,5/31/2021 11:08:11 AM,Sala no disponible.
147,5,Sala de imagenes 1,5/31/2021 11:08:25 AM,Sala no disponible.
148,8,Sala de procedimientos 3,5/31/2021 11:08:25 AM,Inicia limpieza.
149,1,Sala de examenes 1,5/31/2021 11:08:51 AM,Inicia limpieza.
150,5,Sala de imagenes 1,5/31/2021 11:09:32 AM,Inicia limpieza.
151,5,Sala de imagenes 1,5/31/2021 11:10:56 AM,Sala disponible.
